Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Swarming_time,Copula_observed,Swarming.duration..min.,Start..relative.to.sunrise.,Start..relative.to.sunset.,Sweep_net_used,Males.collected..field.,Swarm.size.by.eye..field.,Height..m.above.ground.
Ae. cataphylla,Aedes,cataphylla,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Daylight,Y,,,,Y,,,
Ae. cataphylla,Aedes,cataphylla,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,Y,,,,Y,,352.5,
Ae. cataphylla,Aedes,cataphylla,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Night,Y,,,,Y,,,
Ae. cataphylla,Aedes,cataphylla,"Diurnal swarms of Culex territans Walker, and the crepuscular swarming of Aedes about a small glade in Alaska",Frohne W.C.; Frohne R.G.,Mosquito News,Y,1954,,Male,Field,Dusk,N,,,,N,,30,4.11
Ae. cataphylla,Aedes,cataphylla,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Daylight,N,,,,N,,,
Ae. cataphylla,Aedes,cataphylla,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Dusk,N,,,,Y,,,
Ae. cinereus,Aedes,cinereus,"The mosquitoes of Burnaby Lake, British Columbia",Belton P.,Journal of the Entomological Society of British Columbia ,Y,1978,https://journal.entsocbc.ca/index.php/journal/article/view/1941,Male,Field,Dusk,Y,60,,0,Y,,100,1
Ae. cinereus,Aedes,cinereus,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,N,,,,N,,,
Ae. cinereus,Aedes,cinereus,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Night,N,,,,Y,,5.5,
Ae. communis,Aedes,communis,On the swarming of mosquitoes of the genus Aedes (Culicidae) in the forest tundra,Nikolaeva N.V.,Parazitologiia,Y,1976,https://pubmed.ncbi.nlm.nih.gov/958723/,Male,Field,Dusk,Y,19.5,,,N,,415,
Ae. communis,Aedes,communis,Swarming and Mating of Univoltine Aedes Mosquitoes in the Laboratory,McDaniel I.N.,Journal of the American Mosquito Control Association,Y,1986,https://pubmed.ncbi.nlm.nih.gov/3507505/,Male,Lab,Dusk,Y,40,,,N,,,
Ae. communis,Aedes,communis,"Diurnal swarms of Culex territans Walker, and the crepuscular swarming of Aedes about a small glade in Alaska",Frohne W.C.; Frohne R.G.,Mosquito News,Y,1954,,Male,Field,Dusk,Y,60,,,N,,107.5,2.74
Ae. communis,Aedes,communis,"Frequency tuning of swarming male mosquitoes (Aedes communis, Culicidae) and its neural mechanisms",Lapshin D.N.; Vorontsov D.D.,Journal of Insect Physiology,Y,2021,https://doi.org/10.1016/j.jinsphys.2021.104233,Male,Field,Dusk,N,,,,N,,,2.5
Ae. communis,Aedes,communis,Study of swarming and mating behaviour in mosquitoes Aedes communis in natural population,Parazitologiia,Parazitologiia,Y,1988,,Male,Field,Dusk,Y,,,,N,,125,
Ae. communis,Aedes,communis,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,Y,,,,N,,252.5,
Ae. communis,Aedes,communis,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Night,Y,,,,N,,,
Ae. detritus,Aedes,detritus,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Dusk,N,,,,Y,,,2.5
Ae. diantaeus,Aedes,diantaeus,Acoustic orientation of male Aedes diantaeus during mating,Apasov S.G.; Zhantiev R.D.; Tamarina N.A.; Fedorova M.V.,Parazitologiia,Y,1986,https://pubmed.ncbi.nlm.nih.gov/2947032/,Male,Field,Dusk,N,,,,N,,,0.75
Ae. dorsalis,Aedes,dorsalis,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Dusk,N,,,,Y,,,
Ae. excrucians,Aedes,excrucians,"Diurnal swarms of Culex territans Walker, and the crepuscular swarming of Aedes about a small glade in Alaska",Frohne W.C.; Frohne R.G.,Mosquito News,Y,1954,,Male,Field,Dusk,Y,90,,,Y,,100,3.96
Ae. excrucians,Aedes,excrucians,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dawn,N,,,,Y,,,
Ae. excrucians,Aedes,excrucians,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,N,,,,Y,,,1.25
Ae. excrucians,Aedes,excrucians,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Night,N,,,,Y,,,
Ae. fitchii,Aedes,fitchii,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,N,,,,Y,,,
Ae. fitchii,Aedes,fitchii,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Night,N,,,,Y,,,
Ae. flavescens,Aedes,flavescens,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Dusk,Y,,,,Y,,,
Ae. geniculatus,Aedes,geniculatus,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Daylight,N,,,,Y,,,
Ae. geniculatus,Aedes,geniculatus,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Dusk,N,,,,Y,,,1.25
Ae. hexodontus,Aedes,hexodontus,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dawn,N,,,,Y,,,
Ae. hexodontus,Aedes,hexodontus,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,N,,,,Y,,,4.75
